table,rows_v3,rows_v4,columns_v3,columns_v4,rows_added,rows_removed,cells_changed,max_relative_change,columns_added,columns_removed,sample_rows_added,sample_rows_removed
affine_heat_rates_existing_generators,183,183,5,5,0,0,0,,,,,
affine_heat_rates_new_entrants,22,21,4,4,0,1,0,,,,,Notes: 1. Sourced from Aurecon 2024 Energy Technology Cost and Technical Parameter Review.
auxiliary_load_existing_committed_anticipated_additional_generators,436,519,4,4,83,0,0,,,,Armidale East BESS; Axedale Solar Farm BESS; Bannaby BESS; Baranduda BESS; Bell Bay Wind Farm; Bellambi Heights BESS; ...,
auxiliary_load_new_entrants,21,21,2,2,0,0,0,,,,,
battery_properties,8,8,9,9,0,0,0,,,,,
biomass_fuel_price,3,3,32,32,0,0,0,,,,,
biomethane_prices,3,3,32,32,0,0,0,,,,,
build_costs,63,63,33,33,0,0,0,,,,,
build_limits_phes,15,15,7,7,0,0,0,,,,,
coal_fuel_price,45,45,32,32,0,0,0,,,,,
coal_minimum_stable_level,44,44,6,6,0,0,0,,,,,
connection_cost_forecast_other,240,240,35,35,3,3,0,,2024-25; 2025-26; 2026-27; 2027-28; 2028-29; 2029-30; 2030-31; 2031-32; 2032-33; 2033-34; 2034-35; 2035-36; 2036-37; 2037-38; 2038-39; 2039-40; 2040-41; 2041-42; 2042-43; 2043-44; 2044-45; 2045-46; 2046-47; 2047-48; 2048-49; 2049-50; 2050-51; 2051-52; 2052-53; 2053-54; 2054-55; Notes; Region; Scenario,Unnamed: 10; Unnamed: 11; Unnamed: 12; Unnamed: 13; Unnamed: 14; Unnamed: 15; Unnamed: 16; Unnamed: 17; Unnamed: 18; Unnamed: 19; Unnamed: 2; Unnamed: 20; Unnamed: 21; Unnamed: 22; Unnamed: 23; Unnamed: 24; Unnamed: 25; Unnamed: 26; Unnamed: 27; Unnamed: 28; Unnamed: 29; Unnamed: 3; Unnamed: 30; Unnamed: 31; Unnamed: 32; Unnamed: 33; Unnamed: 34; Unnamed: 35; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9,Alkaline Electrolyser; BOTN - Cethana; Pumped Hydro (48hrs storage),Connection costs for other generation; Generator Type; nan
connection_cost_forecast_wind_and_solar,132,135,36,36,3,0,2,,,,Marulan; Non REZ NSW; Non REZ Victoria,
connection_costs_for_wind_and_solar,49,50,9,9,1,0,0,,,,DN3,
connection_costs_other,6,6,17,17,0,0,0,,,,,
consumer_energy_resources_summary,50,50,31,31,0,0,0,,,,,
existing_committed_anticipated_additional_generator_summary,519,519,31,31,0,0,0,,,,,
expected_closure_years,726,726,5,5,0,0,0,,,,,
fixed_opex_existing_committed_anticipated_additional_generators,519,519,4,4,0,0,0,,,,,
