source_id,citation,publication_date,institution,document_location,slug,url
S001,AEMO 2026 final IASR demand traces parsed to a partitioned parquet store; Step Change / POE50 / OPSO_MODELLING / reference year 2018.,2026,Australian Energy Market Operator,Network share trace store read by analysis/hpc/tracedirs.py; not in this repository,aemo_iasr_2026_demand_traces,https://aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/isp-inputs-assumptions-and-scenarios
S002,AEMO 2026 draft ISP candidate development path 4 (CDP4) annual NEM generation by fuel; one file per scenario.,2026,Australian Energy Market Operator,"iasr outputs/NEM-aemo2026draft-{slower_growth,step_change,accelerated_transition}-CDP4 (ODP)-energy.csv",aemo_2026_draft_isp_cdp4_energy,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp
S003,"Electricity Demand Forecasting Methodology, sections 2.2 and 3.10 (sent-out, operational and as-generated demand boundaries).",2024,Australian Energy Market Operator,No local copy; cited by S004,aemo_electricity_demand_forecasting_methodology_2024,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/nem_esoo/2024/electricity-demand-forecasting-methodology.pdf
S004,"ShARP review, quantity boundary reconciliation for the ISPyPSA electricity alternative.",,ShARP,docs/reviews/ispypsa-electricity/quantity-reconciliation.md at ShARP commit a09411440235da436607cb31bffb232aaeb35a50,sharp_ispypsa_quantity_reconciliation,
S005,"ShARP review, authored delivery and biomass projections (owner-projections.md and owner-projections.json, version 20260915-v1).",,ShARP,docs/reviews/ispypsa-electricity/owner-projections.md and owner-projections.json at ShARP commit a09411440235da436607cb31bffb232aaeb35a50,sharp_ispypsa_owner_projections,
S006,"ShARP review, OPSO delivery bridge validator input specification.",,ShARP,docs/reviews/ispypsa-electricity/delivery-bridge.md at ShARP commit a09411440235da436607cb31bffb232aaeb35a50,sharp_ispypsa_delivery_bridge,
S007,The campaign's own demand plan as read by the manifest and trace builders.,,This fork,analysis/hpc/demand_plan.json,ispypsa_fork_demand_plan,
S008,"2026 ISP generation and storage outlook, Step Change CDP4 (ODP) rows of the Generation sheet: generation excluding rooftop and storage, and storage and DSP net generation, FY2027 to FY2050.",2026-06-25,AEMO,analysis/research/aemo_scenario_cost/aemo_2026_isp_cdp4_costs_generation.csv (extract; S001 of ../aemo_scenario_cost/),aemo_2026_isp_generation_storage_outlook,https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp
S009,"2026 IASR workbook sheets Hydrogen demand - Domestic, Hydrogen demand-Export&Commod and Other hydrogen assumptions: Step Change electrolytic hydrogen by sub-region (Mt), green steel arc furnace load (TWh) and PEM electrolyser consumption (kWh/kg).",2026,AEMO,2026-isp-inputs-and-assumptions-workbook.xlsm under inputs/2026-09-17T13.54_isp2026_final/iasr/2026 ISP Final/ in the campaign IO_DIR,aemo_2026_iasr_hydrogen_demand,
S010,"ShARP generate_grid_electricity assumption A046 and planned pathway states: post-2050 quantities continue each future's 2040-2050 absolute trend; current-policy planned quantity 339.7, 359.7 and 379.7 TWh at 2050, 2055 and 2060.",,ShARP,library/roles/generate_grid_electricity/assumptions_ledger.csv and overflow_supply_pathway_states.csv in austimes/sharp at commit eaf1ca27,sharp_grid_post2050_trend,https://github.com/austimes/sharp/blob/eaf1ca27/library/roles/generate_grid_electricity/overflow_supply_pathway_states.csv
