assumption_id,short_name,sensitivity,basis,justification,used_for,key,value
A001,allowance is the Step Change 2030 fleet less the model's own 2030 roster,high,Step Change CDP4 capacity (S001) and the templated 2030 roster (S003),"The base chain follows the Step Change emissions intensity, so its 2030 fleet should be able to reach the Step Change 2030 fleet and not much further. Subtracting the capacity the model already holds from the capacity AEMO's own optimal development path reaches leaves exactly the new build the path implies, with no separate judgement about what the supply chain can deliver.",Deriving the 2030 new-entrant allowance,Method,"CDP4 2030 capacity per carrier minus the templated 2030 roster per carrier"
A002,one pooled NEM-wide cap per menu rather than a per-carrier schedule,medium,Campaign increment grid design (../campaign_method/),"Splitting the allowance per carrier would pin the 2030 technology mix to AEMO's, which would turn the 2030 increment grid into a re-reading of AEMO's own answer rather than a measurement of what an extra terawatt hour or an extra tonne of abatement costs. Pooling bounds only the total, which is also the quantity a supply chain actually constrains, and leaves the mix to the optimiser. Generation and storage carry separate ceilings because they are separate supply chains.",Form of the new-entrant cap,Cap structure,"one NEM-wide add_capacity_cap over every New Entrant generator and a second over every New Entrant battery"
A003,recommended allowance value against the draft 2026 ISP,medium,Per-carrier allowances under A001 and A006,"Wind 5.9 GW, utility solar 12.4 GW and gas 0.6 GW give 18.9 GW of buildable generation, and the storage anchor gives a further 6.3 GW, for 18.9 GW rounded to 19 GW of generation, and the storage anchor gives 6.3 GW rounded to 6 GW of storage. Conventional hydro, coal, distillate and biomass are excluded because the model offers no new entrant in those carriers or already exceeds the path. This is the draft-ISP derivation; the campaign's setting is the final-ISP allowance under A011.","Draft-ISP yardstick, not passed to --new-entrant-cap-mw or --new-entrant-storage-cap-mw",Allowance,"19,000 MW of generation and 6,000 MW of storage for the 2030 period"
A004,no economic early retirement in the pinned period,high,Campaign near-term design,"Skipping make_existing_reducible for the pinned period makes plant close on its announced year and not before, which is what the near term is actually contracted to do. The cost is that the model holds about 2.3 GW more coal at 2030 than the Step Change path, which the path retires on economics; the 2030 carbon cap then displaces that plant's output rather than its capacity.",Retirement behaviour inside the pinned period,Early retirement,disabled for every solve year at or before the pipeline period
A005,undated committed batteries default to the period before the first milestone,high,Templated storage roster (S003) and the workbook dates (S002),"Twenty-nine committed batteries totalling 6,739 MW reach the templated roster with an empty commissioning date and are therefore treated as available from the start of the run, an effective build year of 2029 on a chain whose first milestone is 2030. Every one of those projects carries a workbook commissioning date of 2028 or earlier, so on this campaign's milestones the default is harmless; it would misdate the fleet on any chain starting in 2025 or 2026.",Recording a known data behaviour,Effective build year of the undated committed batteries,2029
A006,storage allowance anchored on reported draft ISP storage,low,Draft 2026 ISP storage milestone as reported (S004),"Neither CDP4 file carries a storage column, so the storage allowance cannot be derived the way the generation allowance is. The only available anchor is a secondary report of AEMO's combined battery and pumped hydro milestone of 27 GW by 2030, against a templated 2030 storage roster of 20.7 GW. A separate workbook inconsistency omits ten committed batteries totalling 2.1 GW from that roster, so the 6.3 GW allowance is probably about 2 GW too generous.",Storage share of the pooled allowance,Storage allowance,about 6 GW
A007,base cap schedule is the Step Change intensity and the 0.12 anchor is retired,high,AEMO scenario intensity series (S005),"The campaign's earlier cap ladder held every schedule at an authored 0.12 t CO2e/MWh in 2030, for which no basis was ever recorded, and which forced the base chain to out-decarbonise AEMO's own path in its first period. The base chain now takes the Step Change scenario's own intensity at each milestone. The series is emissions over generation, so it is already on the source basis and the campaign's 0.91 delivery fraction does not apply to it.",Cap schedule of the base chain,2030 to 2050 intensity,"0.19673, 0.06450, 0.04136, 0.02714, 0.01385 t CO2e/MWh generated"
A008,no new-entrant build in the 2026 period,high,Step Change CDP4 2026 capacity (S001) and the workbook roster dated by FY2026 (S002),"FY2026 ended on 30 June 2026, so every plant that ran in it is existing or a committed project with a workbook date inside it, and the model holds all of them as fixed capacity. The roster at FY2026 already exceeds the Step Change 2026 fleet in wind, solar and gas. The 2026 base is a calibration year that should reproduce the fleet, not choose new plant.",New-entrant allowance of the 2026 period,Generation / storage allowance,0 MW / 0 MW
A009,2030 storage allowance on the corrected battery roster against the draft ISP milestone,low,Draft 2026 ISP storage milestone as reported (S004) and the corrected roster,"The parser fault that dropped IASR summary-sheet rows 649 to 732 hid 10 committed and 29 anticipated batteries; with them the model holds 24.280 GW of batteries and 6.075 GW of pumped hydro at 2030, 30.4 GW against the 27 GW milestone, and 27.5 GW even with pumped hydro counted only where dated by FY2030. Every reading against the draft-ISP milestone leaves no room for new storage. Additional policy-supported batteries, 8.05 GW, are still dropped by a status-label mismatch in the storage translator and would widen the excess. This draft-ISP reading is not the campaign's setting; the campaign's setting is the final-ISP allowance under A011.","Draft-ISP reading, not the storage share passed to --new-entrant-storage-cap-mw",Storage allowance,0 MW
A010,2030 generation allowance against the draft ISP once the restored generators have traces,medium,Step Change CDP4 2030 capacity (S001) and the workbook roster (S002),"The same parser fix restores 20 solar and 5 wind generators; 4.893 GW of solar and 1.192 GW of wind are dated by FY2030. They stay out of the solve until their traces are parsed, so this draft-ISP allowance stays 19,000 MW until then and falls to wind 4.7 plus solar 7.5 plus gas 0.6 = 12.8 GW, rounded to 13,000 MW, once they enter. This draft-ISP reading is not the campaign's setting; the campaign's setting is the final-ISP allowance under A011.","Draft-ISP reading, not the generation share passed to --new-entrant-cap-mw",Generation allowance,"19,000 MW while the restored generators are out of the solve; 13,000 MW once they enter"
A011,2030 new-entrant allowance against the final 2026 ISP,medium,Final 2026 ISP Step Change capacity at 1 July 2029 (S006) and the IASR roster commissioned by that date (S007),"Wind 29.8 GW and utility solar 31.2 GW less the roster's 17.6 GW and 22.9 GW give 12.2 GW and 8.3 GW of new-entrant generation, 20.5 GW pooled. Batteries 33.3 GW less the roster's 28.2 GW gives 5.1 GW of new-entrant storage. Both ceilings (pipeline_rush_ceiling_mw) are set at twice the allowance.",Values passed to --new-entrant-cap-mw and --new-entrant-storage-cap-mw,Allowance,"20,500 MW of generation and 5,100 MW of storage for the 2030 period; ceilings 41,000 MW and 10,200 MW"
