source_id,citation,publication_date,institution,document_location,slug,url
S001,"Social licence sensitivity parameters: 15% transmission cost impost, 2-year transmission delay, +5% to +60% REZ generation cost uplift graduated by private land parcel density, and the resulting net market benefit outcomes.",2024-06,AEMO,2024 ISP Appendix 8 Social Licence; text extracted from the published PDF,aemo_2024_isp_appendix_8_social_licence,https://aemo.com.au/-/media/files/major-publications/isp/2024/appendices/a8-social-licence.pdf
S002,"Social licence folded into inputs rather than priced as a sensitivity: Transmission Cost Database update, community engagement inside lead times, route lengthening of up to 20% to avoid complex land, and the stated basis of the REZ resource limits.",2025-12,AEMO,Draft 2026 ISP Appendix A8 Social licence; text extracted from the published PDF,aemo_draft_2026_isp_appendix_a8_social_licence,https://www.aemo.com.au/-/media/files/major-publications/isp/draft-2026/a8-social-licence.pdf
S003,"Landholder payment schemes AEMO carries as costs: NSW A$200000 per km real 2022 over 20 years, Queensland A$230000 per km 2023 dollars as a lump sum, and Tasmania unfinalised with no cost.",,AEMO,"2026-isp-inputs-and-assumptions-workbook.xlsm, sheet Energy Policy Targets rows 200-267, under iasr/2026 ISP Final/ in the campaign input directory",iasr_2026_workbook_energy_policy_targets,
S004,"NSW Strategic Benefit Payments rate, term and indexation confirmed by the administering agency.",,EnergyCo NSW,Web page fetched and read,energyco_strategic_benefit_payments_scheme,https://www.energyco.nsw.gov.au/living-in-a-renewable-energy-zone/information-for-landholders/strategic-benefit-payment-scheme
S005,"Victorian transmission host payments of A$200000 per km as A$8000 per km per year over 25 years, and neighbour payments up to A$40000.",,Victorian Government,Located by web search; not read directly and carrying no quote,victoria_transmission_landholder_payments,https://www.premier.vic.gov.au/landholder-payments-fairer-renewables-transition
S006,"REZ resource limit violation penalty factor: 0.3 A$M/MW for every REZ and 1.0 A$M/MW for non-REZ areas.",,AEMO,"2026-isp-inputs-and-assumptions-workbook.xlsm, sheet Build limits - REZs row 6 header and rows 8-59",iasr_2026_workbook_rez_violation_penalty,
S007,"REZ land-use limits of 5% of land area for onshore wind and 1% for solar, raised to 25% and 5% in the Accelerated Transition scenario, with 0.24 km2/MW wind and 0.02 km2/MW solar land use.",,AEMO,"2026-isp-inputs-and-assumptions-workbook.xlsm, sheet Build limits - REZs note 1 at row 61 and the land-use limit columns",iasr_2026_workbook_rez_land_use_limits,
S008,"Community benefit sharing budgets of A$800-1800 per installed MW per year for wind and A$150-800 for solar, explicitly excluding host landowner payments.",2024-05,Tasmanian Department of State Growth,"Renewable Energy Development in Tasmania: A Guideline for Community Engagement, Benefit Sharing and Local Procurement; text extracted from the published PDF",tasmania_benefit_sharing_guideline,https://www.recfit.tas.gov.au/__data/assets/pdf_file/0010/399205/Guideline_for_Community_Engagement%2C_Benefit_Sharing_and_Local_Procurement.pdf
S009,Consumer bill cost of transmission delay in the NEM under three-year and seven-year delay cases.,2024-07,Nexa Advisory with Endgame Economics,Located by web search; not read directly and carrying no quote,nexa_advisory_consumer_cost_of_transmission_delays,https://nexaadvisory.com.au/web/wp-content/uploads/2024/07/Nexa-Advisory-Consumer-Cost-of-Transmission-Delays-Report.pdf
S010,"Framework for recovering social licence expenditure in regulated transmission, with no published per-km, per-MW or percentage allowance.",2023,"Australian Energy Regulator, with Deloitte",Located by web search; PDF text could not be extracted and no figure was found,aer_deloitte_social_licence_costs,https://www.aer.gov.au/industry/registers/resources/reviews/social-licence-electricity-transmission-projects
S011,"Generation capital cost benchmarks with no social licence, community benefit or community engagement cost allowance found.",2025-07,CSIRO,Located by web search; PDF text could not be extracted so the absence is probable rather than confirmed,csiro_gencost_2024_25,https://www.csiro.au/en/research/technology-space/energy/GenCost
S012,Proposed Renewable Resources Payment: a legislated per-megawatt-hour charge to host councils with no rate published.,,Clean Energy Council,Located by web search; not read directly and carrying no quote,clean_energy_council_renewable_resources_payment,https://cleanenergycouncil.org.au/news-resources/clean-energy-council-calls-for-renewable-resources-payment-to-put-regional-communities-first
S013,"Easement length, added capacity and expansion cost per augmentation option, from which the capacity-weighted km/MW and A$/MW figures are computed.",,AEMO,"rez_augmentation_options_*.csv and flow_path_augmentation_options_*.csv under workbook_cache_final/ in the campaign input directory",iasr_2026_augmentation_option_easements,
S014,"What the model charges and what a candidate costs in the 2030 solve: 135 unbounded relax generators at A$15305.78/MW/yr, 38 expandable links at 535 to 193121 A$/MW/yr annuitised, and new-entrant onshore wind and large-scale solar candidates at 261124 to 354269 A$/MW/yr annuitised.",,"This fork, model builder output","pypsa_friendly/generators.csv, pypsa_friendly/links.csv, pypsa_friendly/custom_constraints_generators.csv, pypsa_friendly/custom_constraints_rhs.csv and ispypsa_inputs/renewable_energy_zones.csv under outputs/2026-09-21T16.08_ext41_rezx4_corrx4/runs/ext_central_c0_2030__cost_optimal/ in the campaign output directory",campaign_2030_templated_network,
