assumption_id,short_name,sensitivity,basis,justification,used_for,key,value
A001,constant residual emissions factor,high,Authored (no source),"ShARP publishes no intensity for its clean-ladder points; holding the planned year's non-renewable emissions factor is the simplest conversion, though the campaign's own cells show renewable share and intensity are not one-to-one.",Converting ladder renewable fractions to intensity,Residual factor,planned intensity / (1 - planned renewable fraction)
A002,99 per cent ladder endpoint,low,ShARP role README (S006),"ShARP extends every post-2025 ladder to a nominal 99 per cent at the final published interval's incremental price, but its files carry no row for that endpoint.",The last ladder point each year,Endpoint renewable fraction and slope,0.99 along the last published segment
A003,extra-MWh price,medium,"Authored from S001, S004, S006, S009 and S010","ShARP's beyond-plan price adds the planned future's fuel and carbon allowances and an overflow-growth charge to the ladder level and the overflow-scale premium; the price here keeps all but the carbon allowance, and takes the lower growth band, assuming growth beyond plan stays under 12 TWh a year.",The demand-arm reference,Approximate price of one extra MWh,ladder cost at the planned share + overflow-scale premium + fuel allowance + 2.155449 + 37.447769 in FY2030
A004,no boundary factor on intensities,low,Authored,"ShARP's emissions and fuel input intensities are drawn as published, per MWh of ShARP's delivered quantity; the common basis covers cost and demand only.",The emissions and input panels,Boundary scaling,None
A005,demand-arm units,low,Authored from the arm's own measure,"The demand arm plots change in total annual cost over change in delivered TWh, already a cost per extra unit of energy, so only a unit factor is needed.",The demand-arm reference,Unit factor,10^6 MWh per TWh
A006,intensity-arm anchor,low,Authored,"The campaign's intensity arm starts at its base cell, so the ShARP line starts at the planned point to share that origin.",The intensity-arm reference,First point,"(1, 0)"
A007,delivered to NEM generation by ShARP's own factors,medium,ShARP A052 (S007),"Reverses ShARP's own translation from AEMO generation; assumes cost and energy scale with the national quantity in one flat ratio, and inherits ShARP's 5 TWh rounding.",The common-basis cost and demand columns,Per-MWh cost factor / quantity divisor,0.7915 / (1.3 x 0.7915)
A008,operational demand as generation net of storage losses,medium,"Demand plan measured factor (demand_plan A010), via aemo_scenario_cost","The campaign divides by the load it serves; Step Change's generation net of storage losses over generation is the demand plan's measured factor, held at FY2027 for 2026 and at FY2050 after 2050.",The common-basis cost and demand columns,Operational demand over NEM generation excluding rooftop,0.995 (2026) to 0.942 (2050 on)
A009,A$2024 as the 2024 mean price index,low,ABS CPI (S008),"ShARP states a basis year but no quarter; the four-quarter mean is inflated to the June quarter 2025, and the June quarter 2024 alone would move the factor by 0.1 per cent.",The common-basis cost columns,Dollar-year factor,141.7 / 138.675 = 1.0218
A010,futures range over every grid method,low,ShARP planned pathway states (S001),The demand band spans the lowest and highest planned quantity over the six grid methods each year; the two current-policy methods share one quantity path.,The demand panel band,Band edges,Minimum and maximum planned quantity per year
