assumption_id,short_name,sensitivity,basis,justification,used_for,key,value
A001,delivery fraction,high,ShARP owner projection 20260915-v1 (S005),A flat 9 per cent operational-load loss allowance split 3 per cent transmission and 6 per cent distribution; the review records it as a disclosed placeholder pending ratification rather than a measured AEMO forecast.,Carbon cap tonnage and every delivered-basis intensity,Source NEM load to customer delivered,0.91
A002,national scaling factor,high,ShARP quantity reconciliation (S004),Stipulated national handover factor converting NEM source load to national grid-served load; the review calls it stipulated rather than derived and it is not carried in demand_plan.json.,Comparison of campaign output against national ShARP quantities,NEM source load to national grid served,1.3
A003,low trajectory identity,medium,AEMO 2026 draft ISP CDP4 Slower Growth (S002),The 2030 2040 and 2050 knots equal the Slower Growth generation-excluding-rooftop proxy scaled by the authored 0.97 of A010; the 2060 knot extends beyond the file's 2050 horizon and is authored.,Demand trajectory iasr_low,TWh at 2030 / 2040 / 2050 / 2060,168.8 / 213.4 / 260.0 / 311.4
A004,stress trajectory identity,medium,AEMO 2026 draft ISP CDP4 Accelerated Transition (S002),The 2030 2040 and 2050 knots equal the Accelerated Transition generation-excluding-rooftop proxy scaled by the authored 0.97 of A010; the 2027 2029 and 2060 knots are authored shape points beyond the file's coverage.,Demand trajectory iasr_stress,TWh at 2030 / 2040 / 2050 / 2060,214.4 / 363.8 / 476.3 / 568.4
A005,low bracket derivation,low,Arithmetic on iasr_low (S007),Every low_bracket knot is exactly 0.92 times the matching iasr_low knot; the multiplier itself has no cited basis.,Demand trajectory iasr_low_bracket,Multiplier applied to iasr_low,0.92
A006,central and high provenance,high,Not established,No file in this repository or in the ShARP review set carries these knots or ties them to a named scenario; they are bracketed by the draft ISP range at 2030 2040 and 2050 but match no series.,Demand trajectories iasr_central and iasr_high,TWh at 2030 / 2040 / 2050 / 2060,183 / 268 / 365 / 431 and 185 / 282 / 393 / 460
A007,stress headroom rule,medium,ShARP minimum headroom fraction of 0.2 (S004),The stress trajectory is meant to sit at least 20 per cent above high; it clears that at 2040 2050 and 2060 but fails at 2030 because high is not scaled by the 0.97 of A010 while stress is.,Acceptance of the stress trajectory as an upper bound,Stress over high at 2030 / 2040 / 2050 / 2060,+15.9% / +29.0% / +21.2% / +23.6%
A008,2025 customer-delivered anchor,medium,ShARP planned residual grid quantity (S005),Accepted as the planned anchor rather than measured; it does not reconcile with the trace store within 5 per cent under either boundary reading because the store has no FY2025.,Reporting baseline for delivered energy,anchor_2025_customer_delivered_twh,193.911 TWh
A009,2060 demand shape,high,analysis/hpc/tracedirs.py,"No AEMO demand trace reaches FY2060, so the FY2050 half-hourly profile is copied forward ten years and only the annual level is authored; every 2060 scalar is computed against FY2050 energy.",2060 milestone in every chain,Source financial year behind milestone 2060,FY2050
A010,generation to operational factor,high,Measured against AEMO final 2026 ISP generation (S008) and the trace store (S001),"Converts AEMO generation excluding rooftop and storage to the load the campaign serves. Literal operational demand is not 0.97 of it: the trace store over final ISP generation falls from 0.942 in FY2027 to 0.759 in FY2050, because generation also serves electrolysers, storage losses and network losses. The campaign's load already carries all of those except storage losses, which the model adds itself, so the matching ratio is generation net of storage losses over generation: 0.995 in FY2027, 0.966 in FY2030 and 0.942 to 0.950 from FY2035. 0.97 fits FY2030 within 0.5 per cent and overstates later years by up to 3 per cent; the 2030 to 2050 knots keep 0.97 for comparability with run 2026-09-22T22.46_sc5.",Round 2 knots at 2030 to 2050; every common-basis conversion on the dashboard,AEMO generation proxy to plan source NEM load,"0.97 as authored; recommended per-year 0.995 (FY2027) to 0.942 (FY2050), held outside FY2027 to FY2050"
A011,2026 knot,medium,Draft CDP4 Step Change FY2026 generation (S002) and the FY2027 net-of-storage ratio (S008),"FY2026 precedes the final ISP series, so the draft CDP4 FY2026 generation excluding rooftop, 191 TWh, is scaled by the FY2027 ratio of generation net of storage losses, 0.995; storage charging is small in FY2026. The higher factor lets the 2026 base reproduce AEMO's 2026 generation, which 0.97 (185.3 TWh) would miss by about 2.5 per cent.",2026 milestone of iasr_step_change,demand_paths_source_twh.iasr_step_change.2026,190.1 TWh
A012,post-2050 knots continue the 2040-2050 absolute trend,low,ShARP A046 post-2050 rule (S010),"No AEMO series reaches past FY2050. ShARP extends each future by its own 2040-2050 absolute trend, so the campaign does the same on its knots: +39.77 TWh per decade. ShARP's current-policy future adds 20 TWh of national delivered electricity per five years, +18.85 TWh on the campaign's basis, giving 340.9 and 359.7 TWh, within 0.6 per cent. The trace shape under both knots is AEMO's flat FY2050 to FY2056 profile.",2055 and 2060 milestones of iasr_step_change,demand_paths_source_twh.iasr_step_change.2055 / 2060,341.9 / 361.8 TWh
