assumption_id,short_name,sensitivity,basis,justification,used_for,key,value
A001,no premium within AEMO's published limit,medium,AEMO social licence inputs (S002) and landholder payment schemes (S003),"The published per-MW expansion price already carries the community-engagement allowance inside the assumed lead time, the up-to-20% route lengthening around complex land, and the NSW and Queensland landholder payment schemes as cost categories, so charging a further premium inside the limit would double-count them.",Base tranche of the stepped premium,Premium on capacity from 0 to 1x the published limit,0%
A002,first tranche at AEMO's transmission cost impost,medium,AEMO 2024 ISP social licence sensitivity (S001),"15% is the only published AEMO estimate of a transmission capital uplift for low social licence, and it is derived from costed scope changes that network businesses actually made in response to local stakeholder feedback; AEMO set it for projects inside the published limit, so applying it to the first step beyond the limit is a transfer of scope rather than of cost category.",Premium on the first relaxation tranche,Premium on capacity from 1x to 2x the published limit,+15% on the option's published A$/MW
A003,second tranche at the top of AEMO's parcel-density ladder,low,AEMO 2024 ISP social licence sensitivity (S001) with the land-contestation argument,"AEMO graduates its social licence uplift in proportion to private land parcel density, from a 5% floor at the reference density to 60% at twelve times it; capacity beyond the published limit is by construction on land the land-use screen excluded, so the top of AEMO's own range is preferred to inventing a number above it. The transfer from REZ generation build cost to transmission expansion cost, and the step from parcel density to a relaxation factor, are both unsourced.",Premium on the second relaxation tranche,Premium on capacity from 2x to 4x the published limit,+60% on the option's published A$/MW
A004,premium applied to the price and not the ceiling,high,Published expansion price spread (see ../rez_transmission_limits/research.md),"Published per-MW expansion prices span two orders of magnitude, so a flat A$/MW adder would be a rounding error on the cheapest option and a doubling on the dearest; a percentage keeps the premium proportionate to what the option already costs.",Form of every tranche,Unit in which the premium is expressed,percentage of the option's published A$/MW
A005,capacity-weighted easement length as the per-km conversion,high,IASR augmentation option easements (S013),"Every REZ and flow-path option publishes both its easement length and the capacity it adds, so a per-kilometre payment converts to a per-MW premium from AEMO's own data with no assumption about line voltage or rating.",Converting per-km landholder payments into a per-MW premium,Capacity-weighted easement length,0.1494 km/MW for REZ options and 0.1121 km/MW for flow-path options
A006,landholder payments treated as undiscounted totals,medium,NSW and Queensland scheme terms (S003 and S004),"AEMO states the NSW rate as A$200000 per km paid in instalments over 20 years and the Queensland rate as a lump sum, so both are totals rather than annual rates and the instalment stream is summed rather than discounted; discounting the NSW instalments would lower its share of capex below the 2.8% reported.",Per-MW conversion of the payment schemes,Treatment of the payment streams,undiscounted per-km totals
A007,violation penalties used to bound rather than to set the tranches,medium,REZ resource limit violation penalty factor (S006),"AEMO's 0.3 A$M/MW in-REZ and 1.0 A$M/MW non-REZ penalties are the closest published analogue to pricing a megawatt built past a REZ limit, but they are chosen to make violation a last resort in the optimisation rather than estimated as a cost, so they bracket the proposal instead of setting it.",Cross-check on the proposed tranches,Implied premium bracket against the capacity-weighted REZ expansion cost,+27.9% in-REZ to +93.0% non-REZ
A008,4x treated as the outer relaxation rung,medium,AEMO Accelerated Transition land-use limits (S007),"AEMO's own scenario ladder raises REZ land-use limits by exactly 5.0x in the Accelerated Transition scenario, so a relaxation ladder stopping at 4x stays inside a range AEMO itself publishes, and no rung beyond 4x is proposed because nothing published supports one.",Outer bound of the stepped premium,Highest relaxation factor priced,4x the published limit
A009,AEMO's penalty kept as the floor under both generation tranches,high,REZ resource limit violation penalty (S006) and the templated 2030 network (S014),"The published penalty of 0.3 A$M/MW annuitised at the 3.0% regulated transmission WACC over 30 years is A$15305.78/MW/yr, which every relax generator already charges. Replacing it outright would discard AEMO's own price for the same act, so the tranches add to it rather than replace it: tranche 1 is the penalty plus 15% and tranche 2 the penalty plus 60% of the REZ's own new-entrant VRE cost.",Price of each REZ generation relax tranche,Floor price,A$15305.78/MW/yr on every tranche
A010,percentage base for the generation tranches,medium,Templated 2030 network (S014),"AEMO's +5% to +60% social licence uplift is stated against REZ generation build cost, so the generation tranches are charged against the median annuitised cost of a new-entrant onshore wind or large-scale solar candidate in that REZ rather than against the penalty or against a transmission price. Across the 39 REZs with candidates that median runs 261124 to 354269 A$/MW/yr. Charging against the penalty instead would make the premium unresponsive to where build actually goes, since the penalty is the same 0.3 A$M/MW in every REZ.",Base the generation percentages are applied to,Percentage base,"that REZ's median new-entrant VRE annuitised cost, median 301823 A$/MW/yr"
