assumption_id,short_name,sensitivity,basis,justification,used_for,key,value
A001,first tranche width is the Step Change five-year addition,high,Step Change CDP4 capacity series (S001),"The first tranche is meant to cover build at the rate AEMO itself plans, priced exactly as AEMO prices it, so its width is the five-year change in installed capacity along the Step Change optimal development path and nothing else. Differencing the annual series five years apart gives the period's own rate, with 2030 covering 2026 to 2030.",Width of the unpriced first tranche per carrier per period,C1,five-year net capacity addition on the Step Change CDP4 path
A002,floor on the first tranche at the horizon-average five-year addition,medium,Step Change CDP4 capacity series (S001),"The CDP4 series is net of retirement, so a late period can show a zero or negative addition while gross build is positive: Step Change wind falls 1 GW between 2045 and 2050 as the early fleet reaches end of life. Without a floor the model would charge a premium on the first megawatt of 2046-50 wind, which is the opposite of the intended signal. The floor is the carrier's own average five-year addition over 2026 to 2050, so it stays derived from the same file and never exceeds a rate the Step Change path sustains.",Preventing a spurious zero-width first tranche in late periods,Floor on C1,"(capacity 2050 minus capacity 2025) / 5: wind 9.8 GW, solar 11.6 GW, gas 1.0 GW"
A003,second tranche width is the Accelerated Transition addition or twice the first,medium,Accelerated Transition CDP4 capacity series (S002),"Accelerated Transition is the fastest build path AEMO publishes, so a run building faster than it is outside AEMO's own scenario set and belongs on the uncapped backstop. Where the Accelerated Transition addition is smaller than twice the Step Change addition the tranche would be narrower than the first, which would price a small increment above plan at the steepest rate, so twice the first tranche is taken instead.",Width of the middle tranche per carrier per period,C2,max(Accelerated Transition five-year addition; 2 x C1)
A004,middle tranche adder,medium,Mining boom escalation (S003) with published contingency brackets (S004),"The range 10% to 25% is bracketed by three independent published readings: the 0.44 percentage points of real cost per percentage point of extra construction volume measured across the 2003-2009 mining boom, which gives plus 22% at the midpoint of a tranche spanning zero to 100% above plan; the 13% global average cost overrun for wind; and the EIA's 25% first-of-a-kind premium with AACE's 10% contingency floor. The midpoint is taken. The transfer from an average market-wide cost movement to a marginal tranche cost is unsourced and conservative, since a marginal cost should exceed an average one.",Adder on build between C1 and C2,a2,+17.5% of the group's annuitised capital cost (range +10% to +25%)
A005,backstop tranche adder,low,GenCost first-of-a-kind ladder and contingency brackets (S004),"The range 30% to 60% sits inside the width of published engineering contingency: GenCost's own suggested premiums for technologies Australia has not delivered run 37% for solar thermal, 42% for gas with carbon capture and 63% for offshore wind, AACE allows up to 70%, and the top of the range matches the outer rung of the social licence premium so the two curves agree on what an extreme step costs. The midpoint is taken. Every source in the range prices technology novelty rather than build rate, and GenCost states that regularly deployed technologies such as onshore wind, solar PV, batteries and gas are least affected by novelty, so nothing published measures this rung.",Adder on build above C2,a3,+45% of the group's annuitised capital cost (range +30% to +60%)
A006,adders charged as absolute annual dollars per megawatt,high,IASR build costs and WACC (S008),"The tranche block needs a constant objective coefficient per tranche, so a percentage cannot be charged directly. Converting per carrier and per period against the annuitised capital cost of that period keeps the relative signal fixed at a2 and a3 while the absolute adder falls with AEMO's own falling capital cost trajectory.",Form of every adder,Unit,"A$/MW/yr, 2025 dollars, from annuity = capex x wacc / (1 - (1+wacc)^-life)"
A007,one representative technology per carrier group,medium,IASR new-entrant roster and build costs (S008),"A carrier group spans several technologies with capital costs an order of magnitude apart, for example onshore wind against floating offshore wind, so one must be chosen. The modal new-entrant technology of each group is taken: onshore wind, large-scale solar PV, large open-cycle gas turbine for the Step Change path's peaking gas build, four-hour battery, and 24-hour pumped hydro. The premium is therefore proportionate to a typical member of the group rather than to each member's own cost.",Annuity basis per carrier group,Representative technology,"Wind; Large scale Solar PV; OCGT (large GT); Battery storage (4hrs storage); Pumped Hydro (24hrs storage)"
A008,battery tranche widths,low,Draft 2026 ISP storage milestone as reported (S009) and the model's own 2030 storage roster,"The CDP4 export carries no storage column, so no battery build rate can be read from it. The draft ISP needs about 27 GW of grid-scale battery and pumped hydro storage by 2030 against 20.7 GW already on the model's 2030 roster, leaving about 6 GW of genuinely new storage in the first period; the same 6 GW is held for every later period so the premium never binds harder in the 2040s than it does in the near term, and the second tranche is set at twice it since no Accelerated Transition storage series exists either.",Width of the battery tranches,"C1, C2","6,000 MW and 12,000 MW per five-year period, every period"
A009,pumped hydro tranche widths,low,Model 2030 storage roster and the absence of any published pumped hydro series,"Neither CDP4 file carries pumped hydro: the Hydro column is flat at 7 GW while the model's 2030 network already holds 6.1 GW of pumped hydro storage, so that column is conventional hydro. The committed and policy-supported pumped hydro on the model's roster, 5.3 GW led by Snowy 2.0 and Borumba, is about one five-year period of delivery for a technology with a 10-year total lead time, so 3 GW is taken as one period's rate and 6 GW as the second tranche. No source measures either.",Width of the pumped hydro tranches,"C1, C2","3,000 MW and 6,000 MW per five-year period, every period"
A010,biomass excluded from the build rate premium,medium,Step Change CDP4 capacity series (S001) and the biomass topic,"The Step Change path carries no bioenergy capacity at all, so every width read from it would be zero and every biomass megawatt would pay the backstop adder from the first megawatt. Biomass build is bounded by fuel supply rather than by delivery capacity, and that bound is already priced by the biomass fuel tranches in ../biomass/, so the carrier carries no rows in the premium file and no build rate premium is charged on it.",Carrier coverage of the premium file,Groups carried,"Wind, Solar, Gas, Battery and Water; Biomass omitted"
A011,each period is charged only its own build,high,Campaign chain structure (../campaign_method/),"The tranche block is rebuilt every period over the megawatts whose build year equals that period, so the premium prices compression where the compression occurs and carries no credit or debt between periods. It cannot be avoided by building earlier, because an earlier period faces its own tranches, and the chained myopic solves cannot see a later period's tranche to plan around it.",Temporal scope of the premium,Scope of each tranche block,new build in that period only
A012,widths are five-year totals,high,Campaign period structure (../campaign_method/),"Every width is a five-year addition, so the premium file is only valid for a chain solved on five-yearly periods. Applying it to annual or ten-yearly periods would mis-scale every tranche, which is why the file carries rows for the five milestone years and no others.",Validity of the premium file,Period length the widths assume,five years per period
